"Peak","Name","Season","Date","Time","Citizenship","Sex","Age","Oxy","Dth","Host","Year"
"EVER","Nawang Yonden Sherpa (Beding, Dolakha)","1983 Win","Dec 16","10:30","Nepal","M",31,TRUE,FALSE,"Nepal",1983
"EVER","Noboru Yamada","1983 Win","Dec 16","9:00","Japan","M",33,TRUE,FALSE,"Nepal",1983
"EVER","Peter Jamieson","1983 Spr","May 07","16:00","United States of America","M",27,TRUE,FALSE,"Nepal",1983
"EVER","Shomi Suzuki","1983 Aut","Oct 08","16:30","Japan","M",30,FALSE,FALSE,"Nepal",1983
"EVER","Takashi Ozaki","1983 Win","Dec 16","8:00","Japan","M",31,TRUE,FALSE,"Nepal",1983
"EVER","Ang Dorje Sherpa (Thamo, Khumbu)","1984 Spr","May 23","13:07","Nepal","M",35,FALSE,FALSE,"Nepal",1984
"EVER","Ang Rita Sherpa (Yilajung, Khumbu)","1984 Aut","Oct 15","15:15","Nepal","M",36,FALSE,FALSE,"Nepal",1984
"EVER","Bachendri Pal","1984 Spr","May 23","13:07","India","F",29,TRUE,FALSE,"Nepal",1984
"EVER","Christo Ivanov Prodanov","1984 Spr","Apr 20","18:15","Bulgaria","M",41,FALSE,TRUE,"Nepal",1984
"EVER","Dorje Lhatoo Sherpa","1984 Spr","May 23","13:07","India","M",39,TRUE,FALSE,"Nepal",1984
"EVER","Gregory (Greg) Mortimer","1984 Aut","Oct 03","20:15","Australia","M",31,FALSE,FALSE,"China",1984
"EVER","Ivan Georgiev Valtchev","1984 Spr","May 08","17:15","Bulgaria","M",36,TRUE,FALSE,"Nepal",1984
"EVER","Jozef Psotka","1984 Aut","Oct 15","15:15","Czechoslovakia","M",50,FALSE,TRUE,"Nepal",1984
"EVER","Kiril Dimitrov Doskov","1984 Spr","May 09","10:15","Bulgaria","M",25,TRUE,FALSE,"Nepal",1984
"EVER","Metodi Stefanov Savov","1984 Spr","May 08","17:15","Bulgaria","M",36,TRUE,FALSE,"Nepal",1984
"EVER","Nikolay Mihaylov Petkov","1984 Spr","May 09","10:15","Bulgaria","M",25,TRUE,FALSE,"Nepal",1984
"EVER","Philip Michael (Phil) Ershler","1984 Aut","Oct 20","15:45","United States of America","M",33,TRUE,FALSE,"China",1984
"EVER","Phu Dorjee Sherpa","1984 Spr","May 09","12:30","India","M",34,TRUE,FALSE,"Nepal",1984
"EVER","Sonam Palzor Sarapa","1984 Spr","May 23","13:22","India","M",40,TRUE,FALSE,"Nepal",1984
"EVER","Timothy John Macartney-Snape","1984 Aut","Oct 03","20:15","Australia","M",28,FALSE,FALSE,"China",1984
"EVER","Zoltan Demjan","1984 Aut","Oct 15","15:15","Czechoslovakia","M",29,FALSE,FALSE,"Nepal",1984
"EVER","Ang Karma Sherpa (Dhorphu, Salleri, Solukhumbu)","1985 Sum","Aug 28","18:20","Nepal","M",26,TRUE,FALSE,"China",1985
"EVER","Ang Phurba Sherpa (Thami, Khumbu)","1985 Spr","Apr 30","","Nepal","M",23,TRUE,FALSE,"Nepal",1985
"EVER","Ang Rita Sherpa (Yilajung, Khumbu)","1985 Spr","Apr 29","9:25","Nepal","M",36,FALSE,FALSE,"Nepal",1985
"EVER","Antoni Sors Ferrer","1985 Sum","Aug 28","18:20","Spain","M",35,TRUE,FALSE,"China",1985
"EVER","Arne Ludwig R. Naess Jr.","1985 Spr","Apr 29","9:25","Norway","M",47,TRUE,FALSE,"Nepal",1985
"EVER","Bjorn Age Myrer-Lund","1985 Spr","Apr 21","9:30","Norway","M",33,TRUE,FALSE,"Nepal",1985
"EVER","Carles Valles Ocana","1985 Sum","Aug 28","18:20","Spain","M",27,TRUE,FALSE,"China",1985
"EVER","Chowang Rinzi Sherpa (Namche Bazar, Khumbu)","1985 Spr","Apr 29","9:25","Nepal","M",35,TRUE,FALSE,"Nepal",1985
"EVER","Christian John Storey (Chris) Bonington","1985 Spr","Apr 21","9:30","UK","M",50,TRUE,FALSE,"Nepal",1985
"EVER","David Finlay Breashears","1985 Spr","Apr 30","","United States of America","M",29,TRUE,FALSE,"Nepal",1985
"EVER","Dawa Norbu Sherpa (Yilajung, Khumbu)","1985 Spr","Apr 21","9:30","Nepal","M",27,TRUE,FALSE,"Nepal",1985
"EVER","Etsuo Akutsu","1985 Aut","Oct 30","","Japan","M",47,TRUE,FALSE,"Nepal",1985
"EVER","Havard Nesheim","1985 Spr","Apr 29","9:25","Norway","M",29,TRUE,FALSE,"Nepal",1985
"EVER","Hideji Nazuka","1985 Aut","Oct 30","","Japan","M",30,TRUE,FALSE,"Nepal",1985
"EVER","Kuniaki Yagihara","1985 Aut","Oct 30","9:50","Japan","M",38,TRUE,FALSE,"Nepal",1985
"EVER","Lhakpa Dorje (Ang Lhakpa) Sherpa (Khunde, Khumbu)","1985 Spr","Apr 21","9:30","Nepal","M",26,TRUE,FALSE,"Nepal",1985
"EVER","Mitsuyoshi Sato","1985 Aut","Oct 30","","Japan","M",24,TRUE,FALSE,"Nepal",1985
"EVER","Narayan Kumar Shrestha","1985 Sum","Aug 28","18:20","Nepal","M",25,TRUE,FALSE,"China",1985
"EVER","Noboru Yamada","1985 Aut","Oct 30","10:00","Japan","M",35,FALSE,FALSE,"Nepal",1985
"EVER","Odd Eliassen","1985 Spr","Apr 21","9:30","Norway","M",40,TRUE,FALSE,"Nepal",1985
"EVER","Oscar Cadiach Puig","1985 Sum","Aug 28","18:20","Spain","M",32,TRUE,FALSE,"China",1985
"EVER","Pema Dorje Sherpa (Khumjung, Khumbu)","1985 Spr","Apr 29","9:25","Nepal","M",26,TRUE,FALSE,"Nepal",1985
"EVER","Pertemba Sherpa (Khumjung, Khumbu)","1985 Spr","Apr 21","9:30","Nepal","M",37,TRUE,FALSE,"Nepal",1985
"EVER","Ralph Hoibakk","1985 Spr","Apr 29","9:25","Norway","M",47,TRUE,FALSE,"Nepal",1985
"EVER","Richard Daniel (Dick) Bass","1985 Spr","Apr 30","","United States of America","M",55,TRUE,FALSE,"Nepal",1985
"EVER","Satoshi Kimoto","1985 Aut","Oct 30","","Japan","M",29,TRUE,FALSE,"Nepal",1985
"EVER","Shambu Tamang (Lisankhu, Sindhupalchowk)","1985 Sum","Aug 28","18:20","Nepal","M",29,TRUE,FALSE,"China",1985
"EVER","Stein P. Aasheim","1985 Spr","Apr 29","9:25","Norway","M",34,TRUE,FALSE,"Nepal",1985
"EVER","Sungdare Sherpa (Pangboche, Khumbu)","1985 Spr","Apr 29","9:25","Nepal","M",30,TRUE,FALSE,"Nepal",1985
"EVER","Teruo Saegusa","1985 Aut","Oct 30","","Japan","M",28,TRUE,FALSE,"Nepal",1985
"EVER","Dwayne Congdon","1986 Spr","May 20","21:00","Canada","M",29,TRUE,FALSE,"China",1986
